FECH,ADUA,PAIS,COD_PAI4,COD_SAL1,COD_SAL,DPTO2,VIA,BANDERA,REGIM,MODAD,FINALID,CER_ORI1,SISESP,POSAR,DPTO1,UNID,CODUNI2,CANTI,PBK,PNK,FOBDOL,FOBPES,AGRENA,FLETES,SEGURO,OTROSG
2301,1,249,USA,0,AXM,68,9,249,1,198,1,8,2,2710191500,68,67,M3,75,72945,60787,102115,484897922,0,0,0,0
2301,1,580,PAN,0,AXM,68,0,580,1,198,1,8,2,2710191500,68,67,M3,14,13934,11611,17149,81430861,0,0,0,0
2301,3,23,DEU,3,BOG,5,3,253,1,198,1,8,2,603199010,5,11,U,11040,1683,1511,10445,49029195,0,0,0,0
2301,3,23,DEU,3,BOG,5,3,573,1,198,1,6,2,603199010,5,11,U,140,31,25,64,302293,0,0,0,0
2301,3,23,DEU,3,BOG,5,3,573,1,198,1,6,2,810905000,5,33,KG,1134,1529,1134,5405,25372894,0,0,0,0
2301,3,23,DEU,3,BOG,5,7,827,1,198,1,8,2,603199010,5,11,U,60,12,10,56,261925,0,0,0,0
2301,3,23,DEU,3,BOG,8,0,580,1,199,2,8,2,4009220000,8,33,KG,78,81,78,50,231582,0,0,0,0
2301,3,23,DEU,3,BOG,8,0,580,1,199,2,8,2,8483609000,8,11,U,234,244,234,150,694746,0,0,0,0
2301,3,23,DEU,3,BOG,11,3,23,1,198,1,6,1,603121000,11,11,U,13320,421,385,1463,6852332,1388,0,0,0
2301,3,23,DEU,3,BOG,11,3,23,1,198,1,6,1,603129000,11,11,U,57720,2059,1881,7359,34469529,7046,0,0,0
2301,3,23,DEU,3,BOG,11,3,23,1,198,1,8,1,603900000,11,11,U,960,23,21,604,2838955,588,0,0,0
2301,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,301110090,11,11,U,225,124,99,1961,9083341,0,0,0,0
2301,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,603193000,11,11,U,164,75,63,266,1325232,0,0,0,0
2301,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,4202111000,11,11,U,74,106,92,5683,26616680,0,0,0,0
2301,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,4202210000,11,11,U,160,135,117,5575,26114103,0,0,0,0
2301,3,23,DEU,3,BOG,11,3,23,1,198,1,8,2,4202310000,11,11,U,46,17,15,1038,4859541,0,0,0,0
